Sample	MI_003_H	MI_022_H	MI_028_H	MI_033_H	MI_034_H	MI_037_H	MI_047_H	MI_048_H	MI_058_H	MI_059_H	MI_061_H	MI_062_H	MI_073_H	MI_084_H	MI_085_H	MI_087_H	MI_090_H	MI_095_H	MI_098_H	MI_101_H	MI_105_H	MI_106_H	MI_107_H	MI_116_H	MI_118_H	MI_119_H	MI_132_H	MI_133_H	MI_151_H	MI_155_H	MI_158_H	MI_160_H	MI_165_H	MI_180_H	MI_181_H	MI_183_H	MI_185_H	MI_194_H	MI_196_H	MI_211_H	MI_212_H	MI_217_H	MI_222_H	MI_229_H	MI_230_H	MI_232_H	MI_233_H	MI_238_H	MI_241_H	MI_267_H	MI_270_H	MI_279_H	MI_287_H	MI_288_H	MI_291_H	MI_293_H	MI_295_H	MI_304_H	MI_312_H	MI_313_H	MI_319_H	MI_326_H	MI_328_H	MI_329_H	MI_331_H	MI_334_H	MI_340_H	MI_342_H	MI_345_H	MI_346_H	MI_350_H	MI_358_H	MI_361_H	MI_364_H	MI_367_H	MI_373_H	MI_377_H	MI_383_H	MI_391_H	MI_392_H	MI_396_H	MI_398_H	MI_405_H	MI_413_H	MI_415_H	MI_423_H	MI_426_H	MI_433_H	MI_447_H	MI_453_H	MI_456_H	MI_012_H	MI_013_H	MI_017_H	MI_019_H	MI_020_H	MI_023_H	MI_024_H	MI_029_H	MI_030_H	MI_035_H	MI_039_H	MI_041_H	MI_043_H	MI_044_H	MI_046_H	MI_052_H	MI_055_H	MI_064_H	MI_065_H	MI_072_H	MI_074_H	MI_078_H	MI_088_H	MI_091_H	MI_096_H	MI_109_H	MI_110_H	MI_115_H	MI_123_H	MI_124_H	MI_126_H	MI_129_H	MI_137_H	MI_138_H	MI_139_H	MI_143_H	MI_149_H	MI_150_H	MI_159_H	MI_162_H	MI_166_H	MI_167_H	MI_169_H	MI_175_H	MI_178_H	MI_184_H	MI_187_H	MI_189_H	MI_191_H	MI_192_H	MI_193_H	MI_195_H	MI_197_H	MI_201_H	MI_204_H	MI_213_H	MI_215_H	MI_219_H	MI_223_H	MI_225_H	MI_226_H	MI_248_H	MI_251_H	MI_256_H	MI_260_H	MI_261_H	MI_262_H	MI_263_H	MI_266_H	MI_271_H	MI_274_H	MI_278_H	MI_282_H	MI_283_H	MI_289_H	MI_297_H	MI_298_H	MI_300_H	MI_303_H	MI_308_H	MI_317_H	MI_330_H	MI_332_H	MI_336_H	MI_337_H	MI_338_H	MI_344_H	MI_347_H	MI_354_H	MI_372_H	MI_375_H	MI_381_H	MI_384_H	MI_389_H	MI_394_H	MI_397_H	MI_399_H	MI_409_H	MI_411_H	MI_412_H	MI_420_H	MI_424_H	MI_425_H	MI_434_H	MI_436_H	MI_437_H	MI_449_H	MI_450_H	MI_451_H	MI_455_H	MI_458_H1
BSP	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Normoweight-Healthy	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal	Obese-Abnormal
Otu00001	3	0	0	0	16	0	53	2	24	0	143	0	0	9	48	0	21	96	32	86	0	4	38	0	1	116	67	37	0	0	21	0	0	0	6	3	33	3	0	0	31	8	95	1	10	57	0	1	0	20	10	9	12	256	1	36	6	0	0	128	94	0	85	2	0	56	16	7	65	134	6	159	77	0	46	110	44	17	0	71	56	0	0	0	75	6	0	0	96	21	55	21	22	44	15	0	3	167	19	0	42	0	1	10	9	26	6	10	4	30	18	17	1	0	0	7	0	0	9	8	0	2	0	8	0	17	80	71	16	14	31	0	12	3	4	0	11	0	0	0	0	7	32	25	0	3	39	21	0	17	20	0	12	71	23	35	0	9	32	1	103	19	0	23	169	3	28	6	0	18	75	22	11	52	68	3	60	0	0	7	0	0	97	74	106	0	65	0	58	0	1	0	3	4	45	20	38	184	1	145	18	18
Otu00002	25	0	10	0	246	1	715	5	592	0	446	0	2	7	1760	0	96	528	183	139	11	116	936	0	15	84	605	580	0	0	26	0	1	0	111	100	93	48	1	0	562	29	2566	2	149	683	1	59	106	450	27	36	355	471	34	99	7	0	3	702	271	0	136	10	4	893	53	259	1023	2336	75	353	91	39	1260	1973	442	69	1	1496	120	107	15	0	219	126	3	19	1881	96	197	35	193	292	18	0	46	115	199	0	1362	14	26	155	128	302	175	74	299	170	161	659	0	2	20	78	2	4	198	75	0	32	3	297	0	45	113	334	168	37	64	1	40	75	112	0	110	0	0	0	20	82	293	22	24	36	978	629	53	592	136	0	90	258	321	912	1	444	462	35	170	13	39	152	664	206	162	53	0	181	0	29	447	406	293	44	455	46	0	52	0	18	2285	2507	3159	6	2075	60	897	197	3	0	31	158	173	28	189	517	9	564	91	472
Otu00003	756	3	43	1	346	103	200	1	26	54	69	91	0	217	7	76	61	12	16	207	113	141	246	73	19	200	57	223	536	52	19	8	16	24	231	39	141	10	358	63	129	50	18	7	40	18	55	33	178	39	33	29	49	51	173	31	53	1	19	4	9	6	98	28	5	20	8	70	111	35	41	12	6	23	6	50	37	132	4	9	44	92	18	11	13	5	26	0	12	45	19	249	20	563	220	1199	48	207	125	80	78	358	7	21	19	112	474	1405	0	80	155	319	2	3	69	85	292	241	252	666	74	89	686	926	165	218	494	67	373	102	202	379	286	252	58	72	81	21	101	26	301	133	436	20	2	108	82	370	10	203	14	34	26	263	67	24	0	143	51	44	61	73	28	9	55	79	11	104	121	26	71	25	1	54	148	23	31	36	162	18	30	7	48	26	9	1	15	79	17	44	555	0	25	13	50	78	48	10	46	11	54	15
Otu00004	10	1	7	348	42	3	3	215	107	92	7	4	46	99	8	224	20	17	5	2	11	62	10	223	3	68	11	100	15	2	27	259	38	25	14	5	33	211	874	187	8	1532	4	269	1264	62	102	44	592	255	1393	19	18	150	7	132	4	26	75	49	209	88	37	167	25	160	11	219	1012	31	323	93	11	10	216	47	64	128	9	9	488	797	352	179	48	209	2	0	592	129	5	3	211	1	19	21	13	0	122	9	4	558	139	132	70	14	134	13	0	25	235	336	219	26	294	3	166	3	58	7	25	2	28	1666	117	55	3	3	2	236	50	182	248	249	0	15	53	193	814	53	129	12	402	233	1	337	52	1277	1008	881	1578	619	21	532	397	572	2943	25	813	311	518	27	203	12	141	2245	1744	7	63	543	16	47	66	308	46	240	735	801	639	2798	1008	671	6	0	15	13	178	131	18	202	446	43	102	1038	8	157	39	32	189	199	2274	915
Otu00005	105	0	60	34	108	3	84	29	9	88	45	103	9	19	20	43	21	102	22	17	18	6	14	13	6	27	129	21	93	36	132	10	83	460	38	16	99	18	65	295	50	180	18	2	407	38	319	542	131	17	11	10	16	83	110	26	14	112	50	31	8	173	167	68	19	44	30	92	48	43	60	22	68	16	8	33	116	55	81	32	30	129	12	101	137	15	79	2	34	131	219	187	4	41	12	89	17	39	43	19	17	6	2	24	64	53	107	41	36	21	10	55	15	2	11	127	353	133	151	36	3	15	83	12	24	111	92	68	355	9	58	21	90	78	43	9	174	17	8	18	63	17	332	7	6	14	53	0	1	92	38	1	25	68	133	48	0	11	148	153	299	13	52	49	216	82	24	44	59	43	11	102	19	279	202	136	21	32	312	98	24	5	14	6	8	5	8	89	45	131	77	129	16	179	68	63	98	22	528	35	5	48
Otu00006	0	2937	632	227	7	4	0	1538	0	0	7	68	4	19	2	609	1	0	220	37	174	687	57	445	1012	533	0	91	1229	0	0	218	11	39	498	1002	0	1073	0	0	0	1	0	1362	0	0	659	865	24	5	7	0	9	198	179	0	52	79	1214	2	4	571	645	1021	553	130	1304	508	1	1	163	53	901	291	439	0	7	484	732	0	900	156	1720	284	11	23	31	795	1	50	30	40	234	101	163	7	699	36	7	49	0	28	25	0	21	5	3	0	6	940	14	3	0	1260	52	195	9	0	18	65	0	2	11	7	99	0	135	0	11	433	119	0	155	54	6	678	340	0	350	45	0	1	0	1264	2	113	7	7	2191	10	5	1586	1	62	10	1	0	0	0	2	0	2080	625	0	65	0	0	0	994	66	57	242	884	19	41	661	5	0	80	29	15	1259	135	900	26	32	20	26	347	1065	1561	2	87	453	4	2328	26	0	0	105	14	1
Otu00007	756	3	32	0	312	2	99	453	65	0	183	129	1996	48	34	84	0	127	164	4	291	6	64	152	0	113	58	114	329	390	67	303	609	84	176	0	30	534	519	75	132	38	7	14	115	310	11	97	108	16	37	0	31	9	1130	52	471	529	26	261	202	14	1	16	91	154	3	20	0	6	18	283	0	182	30	39	30	0	139	0	0	50	83	299	0	12	470	0	9	43	77	13	21	507	39	3	7	56	109	1	33	14	0	56	40	147	56	0	161	118	53	0	1	31	5	225	909	112	92	124	501	0	329	4	1	10	33	2	56	182	160	734	1	130	22	40	66	1597	607	595	544	64	89	316	384	370	2	5	2	1	213	0	0	47	343	722	13	30	18	27	0	99	0	59	24	3	3	28	3	5	9	126	19	0	304	362	44	8	67	1	722	32	77	1	2	1	4	6	5	15	8	7	37	23	203	0	65	0	446	318	1	6
Otu00008	190	0	737	191	159	54	251	551	41	477	140	119	341	480	178	467	115	180	43	33	160	25	38	182	58	137	7	24	0	487	170	22	865	249	44	19	57	112	1	76	10	126	5	57	88	2	90	0	340	0	6	10	3	30	50	248	47	107	27	2	4	24	81	49	31	70	18	58	0	1	128	3	163	7	21	6	199	9	1111	2	41	110	8	48	30	28	19	3	12	73	0	1441	3	636	322	57	101	423	39	776	33	111	4	8	12	939	276	40	1	233	218	47	0	6	45	262	521	539	488	715	558	303	389	78	115	115	213	38	81	19	122	0	12	674	123	232	91	246	450	123	1479	248	253	212	1125	301	14	0	1	44	12	56	31	44	22	5	0	41	4	174	13	18	55	13	83	13	7	18	13	2	2	13	0	15	55	37	28	49	193	5	159	24	34	0	3	6	12	14	25	115	0	67	73	32	12	14	70	6	431	3	0	15
Otu00009	188	0	2	36	11	0	7	0	1	107	0	16	1	861	0	2	54	5	0	0	0	0	0	0	0	12	0	0	0	2	1	5	128	2	0	0	0	2	69	329	70	0	2	5	302	21	94	52	124	5	222	6	13	8	0	144	1	107	125	51	978	171	5	30	0	5	0	614	75	69	104	6	1	8	8	3	10	2	311	7	2	17	9	1	29	10	14	1	30	25	0	6	0	6	339	9	3	0	0	1309	1	4	4	2	23	0	5	0	4	0	4	247	8	0	164	41	13	0	0	2	0	27	10	3	4	275	0	1	2	0	45	75	374	231	0	0	33	0	94	6	7	15	4	0	9	15	91	17	6	3	192	14	209	490	203	47	26	5	0	44	912	1	0	7	6	168	779	0	1	2	23	3	1	28	7	3	126	1212	45	12	331	4	160	0	10	3232	99	132	56	146	1	59	12	102	7	35	11	36	10	1	1	297
